track_id,title,artist_slugs,current_slug,proposed_slug,old_path,new_path,same_artist_collision,already_redirected,proposed_path_candidate_count
c82d10bd-8b55-4e87-970d-d9e5bb40c553,PLUMBER,[bensoul],plumber-2,plumber,/tracks/bensoul/plumber-2,/tracks/bensoul/plumber,false,false,1
eeceac4c-76cc-4b31-a8dc-0230e15644a8,Decide,[bien],decide-2,decide,/tracks/bien/decide-2,/tracks/bien/decide,false,false,1
00544b1c-351a-4abb-bdf0-3ffa349da8ff,Lifestyle,[bien],lifestyle-2,lifestyle,/tracks/bien/lifestyle-2,/tracks/bien/lifestyle,false,false,1
b48788e1-ca57-482c-acdd-7c8cb9e3c867,True Love,[bien],true-love-2,true-love,/tracks/bien/true-love-2,/tracks/bien/true-love,false,false,1
ac642239-885d-4b53-92c1-418f36e2fa2d,Dedi Dedilee,[breeder-lw],dedi-dedilee-2,dedi-dedilee,/tracks/breeder-lw/dedi-dedilee-2,/tracks/breeder-lw/dedi-dedilee,false,false,1
cb2587c4-6d96-4718-b049-38bb572dffc9,Grateful,[bridget-blue],grateful-2,grateful,/tracks/bridget-blue/grateful-2,/tracks/bridget-blue/grateful,false,false,1
d7370b5c-1d64-4a98-85d0-f35d4f9dbd90,Ni Wewe,[bridget-blue],ni-wewe-2,ni-wewe,/tracks/bridget-blue/ni-wewe-2,/tracks/bridget-blue/ni-wewe,false,false,1
42d01b1b-6d84-499b-86aa-be70bdf7d568,Ningelijua,[bridget-blue],ningelijua-2,ningelijua,/tracks/bridget-blue/ningelijua-2,/tracks/bridget-blue/ningelijua,false,false,1
75f6e64f-05cf-4169-bcc3-5431faa3c67f,Set Me Free,[bridget-blue],set-me-free-2,set-me-free,/tracks/bridget-blue/set-me-free-2,/tracks/bridget-blue/set-me-free,false,false,1
1a16ce1c-8d51-472b-b434-db838a8a286a,Sober,[bridget-blue],sober-3,sober,/tracks/bridget-blue/sober-3,/tracks/bridget-blue/sober,false,false,1
5522db74-c9af-49eb-9529-6a462ed857a2,Woman,[bridget-blue],woman-2,woman,/tracks/bridget-blue/woman-2,/tracks/bridget-blue/woman,false,false,1
448a9a51-877b-45ab-afa1-4d2746bc23ca,Ex,[buruklyn-boyz],ex-2,ex,/tracks/buruklyn-boyz/ex-2,/tracks/buruklyn-boyz/ex,false,false,1
359d8832-8156-4480-8ae7-5f210ecac89d,Intro,[buruklyn-boyz],intro-8,intro,/tracks/buruklyn-boyz/intro-8,/tracks/buruklyn-boyz/intro,false,false,1
5aabcf79-bfb1-4ecc-ac50-06e40304c8b4,Taliban,[buruklyn-boyz],taliban-2,taliban,/tracks/buruklyn-boyz/taliban-2,/tracks/buruklyn-boyz/taliban,false,false,1
d3e6fe47-ec63-4fa7-accf-be9133b7a0ec,INTRO,[charisma],intro-4,intro,/tracks/charisma/intro-4,/tracks/charisma/intro,false,false,1
246381a4-b39c-4021-8273-81d979ca8be7,TONIGHT,[charisma],tonight-2,tonight,/tracks/charisma/tonight-2,/tracks/charisma/tonight,false,false,1
c72a672a-e3cb-4219-8691-b44c9a6a3766,Stereo,[chimano],stereo-2,stereo,/tracks/chimano/stereo-2,/tracks/chimano/stereo,false,false,1
c1b6c6db-188c-40ad-8a4c-bf0f88da6751,Intro,[coster-ojwang],intro-3,intro,/tracks/coster-ojwang/intro-3,/tracks/coster-ojwang/intro,false,false,1
89781c83-1a8c-4ee7-92e9-1fa07b53b0ba,Atoti,[dyana-cods],atoti-2,atoti,/tracks/dyana-cods/atoti-2,/tracks/dyana-cods/atoti,false,false,1
57a8dc94-ea97-40d3-8d63-a47d4eea3868,Now you know,[dyana-cods],now-you-know-2,now-you-know,/tracks/dyana-cods/now-you-know-2,/tracks/dyana-cods/now-you-know,false,false,1
ec777247-defe-491e-b091-2593caadaf1f,Dala,[fancy-fingers],dala-3,dala,/tracks/fancy-fingers/dala-3,/tracks/fancy-fingers/dala,false,false,1
870fb959-a20c-4be7-9efa-2793582bfff2,Nitarudi,[fancy-fingers],nitarudi-2,nitarudi,/tracks/fancy-fingers/nitarudi-2,/tracks/fancy-fingers/nitarudi,false,false,1
42783c0d-e2ce-4814-ad4e-1fa6b2473beb,Pokunena,[fancy-fingers],pokunena-2,pokunena,/tracks/fancy-fingers/pokunena-2,/tracks/fancy-fingers/pokunena,false,false,1
6fe23a09-28da-49da-8fc7-ed23d6d2e145,Balance,[femi-one],balance-2,balance,/tracks/femi-one/balance-2,/tracks/femi-one/balance,false,false,1
ca62f90d-91f2-4150-8e3b-f7b12b84b1d7,Pewa,[femi-one],pewa-2,pewa,/tracks/femi-one/pewa-2,/tracks/femi-one/pewa,false,false,1
2bdbd42d-3e16-4713-831b-d8393513adb6,Mali Safi,[fena-gitu],mali-safi-3,mali-safi,/tracks/fena-gitu/mali-safi-3,/tracks/fena-gitu/mali-safi,false,false,1
160445fb-2c37-44bb-9bef-0cdc33e11939,December,[iyanii],december-2,december,/tracks/iyanii/december-2,/tracks/iyanii/december,false,false,1
