blockerType,source,target,status,targetExists,policyDecision,confidence,reason,legacyTitle
chart_runtime_route,/charts/top-100/ke/2026-01-26/,/charts/top-100/ke/2026-01-26,302,false,runtime_verification_required,medium,"Chart route is likely handled by React runtime routing, but needs deployment-preview smoke testing before cutover.",Magazine | WAKILISHA
chart_runtime_route,/charts/top-gengetone/ke/2026-01-26/,/charts/top-gengetone/ke/2026-01-26,302,false,runtime_verification_required,medium,"Chart route is likely handled by React runtime routing, but needs deployment-preview smoke testing before cutover.",Magazine | WAKILISHA
chart_runtime_route,/charts/top-rnb/ke/2026-01-26/,/charts/top-rnb/ke/2026-01-26,302,false,runtime_verification_required,medium,"Chart route is likely handled by React runtime routing, but needs deployment-preview smoke testing before cutover.",Magazine | WAKILISHA
legacy_article_missing_react_route,/claim-your-name/,/magazine/claim-your-name,302,false,manual_review_missing_article,low,"Legacy article/page slug has no matching React route. Decide whether to import, redirect elsewhere, preserve static HTML, or intentionally 404.",Claim Your Name | WAKILISHA
legacy_section_archive,/album-reviews/,/magazine,302,false,manual_review_section_archive,low,Legacy album reviews archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Album Reviews | WAKILISHA
legacy_section_archive,/art-design/,/magazine,302,false,manual_review_section_archive,low,Legacy art/design archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Art &amp; Design | WAKILISHA
legacy_section_archive,/art/,/magazine,302,false,manual_review_section_archive,low,Legacy art archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Art | WAKILISHA
legacy_section_archive,/blog-newspaper/,/magazine,302,false,manual_review_section_archive,low,Legacy blog/newspaper archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,HOME | WAKILISHA
legacy_section_archive,/film/,/magazine,302,false,manual_review_section_archive,low,Legacy film archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Film | WAKILISHA
legacy_section_archive,/journal/,/magazine,302,false,manual_review_section_archive,low,Legacy journal archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Magazine | WAKILISHA
legacy_section_archive,/lifestyle/,/magazine,302,false,manual_review_section_archive,low,Legacy lifestyle archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Lifestyle | WAKILISHA
legacy_section_archive,/literature/,/magazine,302,false,manual_review_section_archive,low,Legacy literature archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Literature | WAKILISHA
legacy_section_archive,/literature/short-stories/,/magazine,302,false,manual_review_section_archive,low,Legacy nested short stories archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Short Stories | WAKILISHA
legacy_section_archive,/music/,/music,302,false,manual_review_section_archive,low,Legacy music archive needs a React music/archive destination or retirement decision. Target route was not found in current React prerender output.,Music | WAKILISHA
legacy_section_archive,/opinion/,/magazine,302,false,manual_review_section_archive,low,Legacy opinion archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Opinion | WAKILISHA
legacy_section_archive,/plan/,/magazine,302,false,manual_review_section_archive,low,"Legacy plan route needs product decision: rebuild, redirect, or retire. Target route was not found in current React prerender output.",Plan | WAKILISHA
legacy_section_archive,/plan/archive/,/magazine,302,false,manual_review_section_archive,low,"Legacy plan archive needs product decision: rebuild, redirect, or retire. Target route was not found in current React prerender output.",Archive | WAKILISHA
legacy_section_archive,/science-and-technology/,/magazine,302,false,manual_review_section_archive,low,Legacy science and technology archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Science and Technology | WAKILISHA
legacy_section_archive,/short-stories/,/magazine,302,false,manual_review_section_archive,low,Legacy short stories archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Short Stories | WAKILISHA
legacy_section_archive,/sports/,/magazine,302,false,manual_review_section_archive,low,Legacy sports archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,Sports | WAKILISHA
woocommerce_dynamic_route,/cart/,/cart,302,false,product_decision_required,high,"Legacy WooCommerce route. Decide whether to retire, rebuild, redirect to a non-commerce page, or preserve a legacy store path.",
woocommerce_dynamic_route,/checkout/,/checkout,302,false,product_decision_required,high,"Legacy WooCommerce route. Decide whether to retire, rebuild, redirect to a non-commerce page, or preserve a legacy store path.",
