source,target,status,preserveQueryString,sourceGroup,confidence,safeToApplyAfterFinalGoNoGo,notes
/10-contemporary-kenyan-artists-you-should-know/,/magazine/10-contemporary-kenyan-artists-you-should-know,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/10-kenyan-authors-you-should-read/,/magazine/10-kenyan-authors-you-should-read,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/10-places-in-nairobi-to-explore-art-music-and-design/,/magazine/10-places-in-nairobi-to-explore-art-music-and-design,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/15-fatoumata-diawara-songs/,/magazine/15-fatoumata-diawara-songs,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/15-things-to-do-home-5-months/,/magazine/15-things-to-do-home-5-months,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/2021-visual-trends/,/magazine/2021-visual-trends,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/2022-nyege-nyege-festival-officially-announced/,/magazine/2022-nyege-nyege-festival-officially-announced,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/2023-trends-to-take-note-of/,/magazine/2023-trends-to-take-note-of,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/4-tips-for-diversifying-your-diet-on-a-budget/,/magazine/4-tips-for-diversifying-your-diet-on-a-budget,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/5-cultural-destinations-worth-visiting-in-nairobi/,/magazine/5-cultural-destinations-worth-visiting-in-nairobi,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/5-golden-rules-of-traversing-downtown-nairobi-ft-melodica-music-store/,/magazine/5-golden-rules-of-traversing-downtown-nairobi-ft-melodica-music-store,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/5-ideas-to-make-christmas-2020-better/,/magazine/5-ideas-to-make-christmas-2020-better,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
/5-kenyan-artists-to-follow/,/magazine/5-kenyan-artists-to-follow,302,true,base_article_artist_redirect,high,true,Legacy article/page slug has a matching React magazine route.
